ID,term,country,actRating,affRating,emoRating,negRating,concern,EPI,CRI,GDP
3,warming,SWE,-0.263541347,-0.240895222,-0.24942212,0.082222627,-1.207667314,1.447009045,0.566215841,-0.198450961
3,change,UKR,-0.263541347,-0.240895222,-0.24942212,0.082222627,-1.446934447,-0.500028915,1.077091228,-0.339387612
3,crisis,UKR,-0.263541347,-0.240895222,-0.24942212,0.082222627,-1.446934447,-0.500028915,1.077091228,-0.339387612
3,warming,UKR,-0.112494111,-0.240895222,-0.24942212,0.173460983,-1.446934447,-0.500028915,1.077091228,-0.339387612
3,emergency,URY,-0.263541347,-0.240895222,-0.24942212,0.082222627,1.091581604,-0.526700667,-1.102184917,-0.367509373
3,warming,URY,-0.263541347,-0.240895222,-0.24942212,0.082222627,1.091581604,-0.526700667,-1.102184917,-0.367509373
3,crisis,USA,,-0.240895222,-0.24942212,0.082222627,0.05654412,0.820222853,-1.472593036,6.755012709
4,crisis,ARG,0.370857042,0.398826176,1.314657995,-1.499242204,1.167136704,-0.319994583,-0.706123533,-0.209908982
4,emergency,ARG,0.70316096,0.814645085,1.314657995,-1.347178278,1.167136704,-0.319994583,-0.706123533,-0.209908982
4,change,AUS,0.763579855,0.590742596,1.314657995,-1.499242204,-0.049640973,1.193627393,-0.669520704,0.098635009
4,crisis,BRA,0.793789302,1.198477925,1.314657995,-1.499242204,1.34002599,-0.386673965,0.373190664,0.206587529
4,emergency,BRA,0.552113725,-0.976574831,0.467447933,0.781716687,1.34002599,-0.386673965,0.373190664,0.206587529
4,change,CRI,1.186512114,1.294436134,1.314657995,-1.499242204,1.379747635,-0.299990768,0.430754088,-0.36724133
4,change,GBR,1.186512114,1.262450064,1.314657995,-1.499242204,-0.507852338,1.620375439,0.091630439,0.725172156
4,change,HKG,0.823998749,1.006561505,1.314657995,-1.499242204,,,,-0.266654959
4,crisis,ISR,0.491694831,0.366840106,1.314657995,-1.499242204,-0.783304043,0.586845015,0.581858076,-0.262778989
4,warming,MEX,0.552113725,0.622728666,1.314657995,-1.499242204,1.193983251,-0.29332283,-1.039615978,0.050959681
4,crisis,MYS,-0.837520842,0.686700806,1.314657995,-1.499242204,-1.139586902,-0.606715926,0.435759603,-0.244181124
4,crisis,NLD,0.70316096,1.294436134,1.314657995,-1.499242204,-1.228408232,1.220299146,-0.116724128,-0.083870688
4,crisis,PAK,0.431275937,0.462798316,0.956222969,-1.408003849,-0.843154663,-1.593570782,0.529613012,
4,emergency,PHL,0.823998749,0.814645085,1.314657995,-1.499242204,0.589884239,-1.240170057,-1.86865442,-0.250195059
4,crisis,RUS,1.186512114,1.294436134,1.314657995,-1.499242204,-1.195977738,-0.433349532,0.143875503,0.135414378
4,change,SAU,0.370857042,0.782659015,1.314657995,-1.499242204,0.205044599,-0.866765517,0.550573606,-0.12546488
4,crisis,SAU,0.642742066,0.206909757,1.314657995,-1.499242204,0.205044599,-0.866765517,0.550573606,-0.12546488
4,emergency,SVN,1.186512114,1.294436134,1.314657995,-1.499242204,,1.000257185,-0.408921073,-0.370433981
