ID,term,country,actRating,emoRating,epi,GDP,perception,CRI
4,change,GBR,1.186072612,1.313212734,-1.654252283,0.738291463,-0.540988124,73.83
4,change,HKG,0.824340239,1.313212734,NA,-0.251383974,NA,
4,change,SAU,0.372174773,1.313212734,0.8483165,-0.110500194,0.179399984,88.5
4,change,USA,0.733907146,1.313212734,-0.849136321,6.755050828,0.029339051,23.83
4,crisis,ARG,0.372174773,1.313212734,0.298153925,-0.194761102,1.151601821,48.33
4,crisis,BRA,0.794195875,1.313212734,0.365246922,0.220831858,1.326307839,82.83
4,crisis,ISR,0.49275223,1.313212734,-0.614310832,-0.247516413,-0.819334295,89.5
4,crisis,MYS,-0.833599804,1.313212734,0.586653812,-0.228958894,-1.179360999,84.83
4,crisis,NLD,0.703762781,1.313212734,-1.251694302,-0.068996237,-1.26911567,67.17
4,crisis,PAK,0.432463502,0.955793926,1.579630166,NA,-0.87981383,87.83
4,crisis,RUS,1.186072612,1.313212734,0.41221202,0.14981311,-1.236344394,75.5
4,crisis,SAU,0.643474053,1.313212734,0.8483165,-0.110500194,0.179399984,88.5
4,emergency,ARG,0.703762781,1.313212734,0.298153925,-0.194761102,1.151601821,48.33
4,emergency,BRA,0.553040959,0.468404641,0.365246922,0.220831858,1.326307839,82.83
4,emergency,PHL,0.824340239,1.313212734,1.224037282,-0.234959782,0.568283546,11.17
4,emergency,SVN,1.186072612,1.313212734,-1.030287412,-0.354937857,NA,57.83
4,emergency,TUR,0.372174773,1.313212734,0.942246695,-0.104996721,0.788902636,79.17
4,warming,MEX,0.553040959,1.313212734,0.271316727,0.06554163,1.178730473,37.67
5,change,IRL,-1.82836383,-1.936049163,-1.08396181,-0.250918972,-1.129520686,76.5
5,change,PHL,-1.82836383,-1.936049163,1.224037282,-0.234959782,0.568283546,11.17
5,crisis,AUS,0.100875493,-0.311418214,-1.224857103,0.113113531,-0.077961842,49.5
5,crisis,COL,0.0104424,-0.311418214,0.251188828,-0.260547788,1.381095431,61
5,crisis,GBR,1.186072612,-0.311418214,-1.654252283,0.738291463,-0.540988124,73.83
5,crisis,GER,1.186072612,-0.311418214,NA,NA,NA,13.83
5,crisis,MDA,1.186072612,-0.311418214,0.821479301,-0.369411679,0.719028058,125
5,crisis,MEX,-0.321145609,-0.311418214,0.271316727,0.06554163,1.178730473,37.67
5,crisis,NZL,1.186072612,0.663360355,-0.983322315,-0.304177302,NA,53.17
5,crisis,TUR,-1.82836383,-1.936049163,0.942246695,-0.104996721,0.788902636,79.17
5,emergency,GTM,-1.82836383,-1.936049163,1.666851061,-0.346338323,0.72332724,77.33
5,emergency,ISL,-1.82836383,-1.936049163,-1.050415312,-0.365517435,-0.809580427,125
5,emergency,KOR,-1.82836383,-1.936049163,-0.66127593,0.203223956,0.303474683,76.5
5,emergency,PER,-1.82836383,-1.936049163,0.8483165,-0.301185614,1.153252022,94
5,emergency,VNM,-1.406342728,0.338434165,1.559502266,-0.271747177,-0.880034541,26.17
5,warming,BEL,-1.82836383,-1.936049163,-1.117508308,-0.19432775,-0.501300717,81.83
5,warming,ESP,-1.82836383,-1.936049163,-1.184601305,0.092784524,-0.004163248,47.67
5,warming,EST,-1.82836383,-1.936049163,-0.580764334,-0.362145061,-1.546640526,90.5
5,warming,GTM,1.186072612,-0.311418214,1.666851061,-0.346338323,0.72332724,77.33
5,warming,ISR,-1.82836383,-0.311418214,-0.614310832,-0.247516413,-0.819334295,89.5
6,change,BGR,0.975062061,0.858316069,-0.02389246,-0.351551026,NA,101
6,change,FIN,0.462607866,0.273448927,-1.493229091,-0.282471695,-0.900321275,125
6,change,LBN,0.733907146,0.760838212,0.754386304,-0.359980212,0.210767826,67.17
6,change,LUX,1.186072612,1.313212734,-1.72134528,-0.347457715,-0.699120088,84.33
6,change,MEX,0.613329688,0.988286544,0.271316727,0.06554163,1.178730473,37.67
6,change,PAK,0.733907146,0.533389879,1.579630166,NA,-0.87981383,87.83
6,change,USA,0.824340239,0.760838212,-0.849136321,6.755050828,0.029339051,23.83
6,crisis,BLR,0.342030408,0.370926784,0.244479528,-0.348164387,-0.836578894,111.83
6,crisis,MEX,0.824340239,0.630867736,0.271316727,0.06554163,1.178730473,37.67
6,crisis,TWN,0.824340239,0.760838212,-0.037311059,-0.149974434,NA,72.33
6,crisis,URY,0.76405151,0.370926784,0.506142216,-0.352019594,1.075252782,35.67
6,crisis,VNM,0.673618417,0.988286544,1.559502266,-0.271747177,-0.880034541,26.17
6,emergency,HKG,0.854484604,0.82582345,NA,-0.251383974,NA,
6,emergency,IMN,0.553040959,0.858316069,NA,NA,NA,
6,emergency,ISR,0.824340239,0.923301307,-0.614310832,-0.247516413,-0.819334295,89.5
6,emergency,SVN,0.854484604,0.923301307,-1.030287412,-0.354937857,NA,57.83
6,emergency,UKR,0.884628968,1.085764401,0.479305017,-0.32395884,-1.489938174,105.33
6,warming,FIN,0.733907146,1.020779163,-1.493229091,-0.282471695,-0.900321275,125
6,warming,PHL,0.733907146,0.858316069,1.224037282,-0.234959782,0.568283546,11.17
6,warming,TUR,0.854484604,0.760838212,0.942246695,-0.104996721,0.788902636,79.17
7,change,CHL,0.854484604,0.565882498,0.090165635,-0.276127437,1.351414029,81.17
7,change,CRI,0.372174773,1.085764401,0.278026026,-0.351752132,1.366446882,84.67
7,change,GRC,0.854484604,0.208463689,-0.835717722,-0.30223623,1.336579789,23.67
7,change,MDA,1.095639519,1.215734877,0.821479301,-0.369411679,0.719028058,125
7,change,SLV,0.824340239,1.11825702,0.908700197,-0.363247003,1.221288812,44.33
7,change,UKR,0.794195875,0.955793926,0.479305017,-0.32395884,-1.489938174,105.33
7,crisis,HKG,-0.893888533,0.533389879,NA,-0.251383974,NA,
